Date,Open,High,Low,Close,Forecast
1980-10-05,2.4056,2.4056,2.4056,2.4056,0
1980-10-12,2.4172,2.4172,2.4172,2.4172,0
1980-10-19,2.4498,2.4498,2.4498,2.4498,0
1980-10-26,2.4372,2.4372,2.4372,2.4372,0
1980-11-02,2.4143,2.4143,2.4143,2.4143,0
1980-11-09,2.4038,2.4038,2.4038,2.4038,0
1980-11-16,2.3641,2.3641,2.3641,2.3641,-1
1980-11-23,2.3585,2.3585,2.3585,2.3585,-1
1980-11-30,2.3397,2.3397,2.3397,2.3397,-1
1980-12-07,2.324,2.324,2.324,2.324,-1
1980-12-14,2.3272,2.3272,2.3272,2.3272,0
1980-12-21,2.3702,2.3702,2.3702,2.3702,0
1980-12-28,2.3798,2.3798,2.3798,2.3798,0
1981-01-04,2.3998,2.3998,2.3998,2.3998,0
1981-01-11,2.3987,2.3987,2.3987,2.3987,0
1981-01-18,2.4073,2.4073,2.4073,2.4073,0
1981-01-25,2.3753,2.3753,2.3753,2.3753,0
1981-02-01,2.331,2.331,2.331,2.331,0
1981-02-08,2.2894,2.2894,2.2894,2.2894,-1
1981-02-15,2.325,2.325,2.325,2.325,0
1981-02-22,2.2031,2.2031,2.2031,2.2031,0
1981-03-01,2.1935,2.1935,2.1935,2.1935,-1
1981-03-08,2.2207,2.2207,2.2207,2.2207,0
1981-03-15,2.2707,2.2707,2.2707,2.2707,0
1981-03-22,2.2297,2.2297,2.2297,2.2297,-1
1981-03-29,2.2036,2.2036,2.2036,2.2036,-1
1981-04-05,2.1858,2.1858,2.1858,2.1858,-1
1981-04-12,2.1515,2.1515,2.1515,2.1515,-1
1981-04-19,2.1697,2.1697,2.1697,2.1697,0
1981-04-26,2.1427,2.1427,2.1427,2.1427,-1
1981-05-03,2.1155,2.1155,2.1155,2.1155,-1
1981-05-10,2.0786,2.0786,2.0786,2.0786,-1
1981-05-17,2.0747,2.0747,2.0747,2.0747,-1
1981-05-24,2.0704,2.0704,2.0704,2.0704,-1
1981-05-31,1.915,1.915,1.915,1.915,-1
1981-06-07,1.9573,1.9573,1.9573,1.9573,0
1981-06-14,1.9631,1.9631,1.9631,1.9631,0
1981-06-21,1.9486,1.9486,1.9486,1.9486,-1
1981-06-28,1.8936,1.8936,1.8936,1.8936,-1
1981-07-05,1.8965,1.8965,1.8965,1.8965,0
1981-07-12,1.8801,1.8801,1.8801,1.8801,-1
1981-07-19,1.8625,1.8625,1.8625,1.8625,-1
1981-07-26,1.8481,1.8481,1.8481,1.8481,-1
1981-08-02,1.7944,1.7944,1.7944,1.7944,-1
1981-08-09,1.806,1.806,1.806,1.806,0
1981-08-16,1.8674,1.8674,1.8674,1.8674,0
1981-08-23,1.8454,1.8454,1.8454,1.8454,-1
1981-08-30,1.8454,1.8454,1.8454,1.8454,-1
1981-09-06,1.7886,1.7886,1.7886,1.7886,-1
1981-09-13,1.8318,1.8318,1.8318,1.8318,0
1981-09-20,1.7921,1.7921,1.7921,1.7921,-1
1981-09-27,1.8252,1.8252,1.8252,1.8252,0
1981-10-04,1.9004,1.9004,1.9004,1.9004,0
1981-10-11,1.8268,1.8268,1.8268,1.8268,0
1981-10-18,1.8225,1.8225,1.8225,1.8225,0
1981-10-25,1.8454,1.8454,1.8454,1.8454,0
1981-11-01,1.8762,1.8762,1.8762,1.8762,0
1981-11-08,1.9124,1.9124,1.9124,1.9124,0
1981-11-15,1.9066,1.9066,1.9066,1.9066,0
1981-11-22,1.9554,1.9554,1.9554,1.9554,0
1981-11-29,1.9516,1.9516,1.9516,1.9516,0
1981-12-06,1.8818,1.8818,1.8818,1.8818,0
1981-12-13,1.8741,1.8741,1.8741,1.8741,0
1981-12-20,1.89,1.89,1.89,1.89,0
1981-12-27,1.9109,1.9109,1.9109,1.9109,0
1982-01-03,1.92,1.92,1.92,1.92,0
1982-01-10,1.87,1.87,1.87,1.87,0
1982-01-17,1.8705,1.8705,1.8705,1.8705,0
1982-01-24,1.8745,1.8745,1.8745,1.8745,0
1982-01-31,1.8605,1.8605,1.8605,1.8605,-1
1982-02-07,1.849,1.849,1.849,1.849,-1
1982-02-14,1.8525,1.8525,1.8525,1.8525,0
1982-02-21,1.82,1.82,1.82,1.82,-1
1982-02-28,1.8375,1.8375,1.8375,1.8375,0
1982-03-07,1.7975,1.7975,1.7975,1.7975,-1
1982-03-14,1.799,1.799,1.799,1.799,0
1982-03-21,1.79,1.79,1.79,1.79,-1
1982-03-28,1.7875,1.7875,1.7875,1.7875,-1
1982-04-04,1.754,1.754,1.754,1.754,-1
1982-04-11,1.76,1.76,1.76,1.76,0
1982-04-18,1.772,1.772,1.772,1.772,0
1982-04-25,1.7945,1.7945,1.7945,1.7945,0
1982-05-02,1.8262,1.8262,1.8262,1.8262,0
1982-05-09,1.8235,1.8235,1.8235,1.8235,0
1982-05-16,1.7975,1.7975,1.7975,1.7975,0
1982-05-23,1.791,1.791,1.791,1.791,0
1982-05-30,1.795,1.795,1.795,1.795,0
1982-06-06,1.7745,1.7745,1.7745,1.7745,0
1982-06-13,1.7385,1.7385,1.7385,1.7385,-1
1982-06-20,1.719,1.719,1.719,1.719,-1
1982-06-27,1.731,1.731,1.731,1.731,0
1982-07-04,1.7245,1.7245,1.7245,1.7245,-1
1982-07-11,1.724,1.724,1.724,1.724,-1
1982-07-18,1.7665,1.7665,1.7665,1.7665,0
1982-07-25,1.738,1.738,1.738,1.738,0
1982-08-01,1.714,1.714,1.714,1.714,-1
1982-08-08,1.702,1.702,1.702,1.702,-1
1982-08-15,1.7415,1.7415,1.7415,1.7415,0
1982-08-22,1.736,1.736,1.736,1.736,0
1982-08-29,1.7305,1.7305,1.7305,1.7305,0
1982-09-05,1.7125,1.7125,1.7125,1.7125,0
1982-09-12,1.713,1.713,1.713,1.713,0
