Date,Open,High,Low,Close,Forecast
1975-11-30,1.2376,1.2376,1.2376,1.2376,0
1975-12-07,1.2329,1.2329,1.2329,1.2329,0
1975-12-14,1.2366,1.2366,1.2366,1.2366,0
1975-12-21,1.2404,1.2404,1.2404,1.2404,0
1975-12-28,1.2356,1.2356,1.2356,1.2356,-1
1976-01-04,1.2407,1.2407,1.2407,1.2407,0
1976-01-11,1.2387,1.2387,1.2387,1.2387,-1
1976-01-18,1.2252,1.2252,1.2252,1.2252,-1
1976-01-25,1.2228,1.2228,1.2228,1.2228,-1
1976-02-01,1.2262,1.2262,1.2262,1.2262,0
1976-02-08,1.2201,1.2201,1.2201,1.2201,-1
1976-02-15,1.2142,1.2142,1.2142,1.2142,-1
1976-02-22,1.2127,1.2127,1.2127,1.2127,-1
1976-02-29,1.2022,1.2022,1.2022,1.2022,-1
1976-03-07,1.1953,1.1953,1.1953,1.1953,-1
1976-03-14,1.1868,1.1868,1.1868,1.1868,-1
1976-03-21,1.1862,1.1862,1.1862,1.1862,-1
1976-03-28,1.1869,1.1869,1.1869,1.1869,0
1976-04-04,1.1829,1.1829,1.1829,1.1829,-1
1976-04-11,1.1832,1.1832,1.1832,1.1832,0
1976-04-18,1.1802,1.1802,1.1802,1.1802,-1
1976-04-25,1.1798,1.1798,1.1798,1.1798,-1
1976-05-02,1.1874,1.1874,1.1874,1.1874,0
1976-05-09,1.1815,1.1815,1.1815,1.1815,-1
1976-05-16,1.1744,1.1744,1.1744,1.1744,-1
1976-05-23,1.1719,1.1719,1.1719,1.1719,-1
1976-05-30,1.1712,1.1712,1.1712,1.1712,-1
1976-06-06,1.1729,1.1729,1.1729,1.1729,0
1976-06-13,1.1722,1.1722,1.1722,1.1722,-1
1976-06-20,1.1733,1.1733,1.1733,1.1733,0
1976-06-27,1.1752,1.1752,1.1752,1.1752,0
1976-07-04,1.1733,1.1733,1.1733,1.1733,-1
1976-07-11,1.1685,1.1685,1.1685,1.1685,-1
1976-07-18,1.1665,1.1665,1.1665,1.1665,-1
1976-07-25,1.1748,1.1748,1.1748,1.1748,0
1976-08-01,1.1732,1.1732,1.1732,1.1732,0
1976-08-08,1.1725,1.1725,1.1725,1.1725,0
1976-08-15,1.1769,1.1769,1.1769,1.1769,0
1976-08-22,1.1795,1.1795,1.1795,1.1795,0
1976-08-29,1.1812,1.1812,1.1812,1.1812,0
1976-09-05,1.1839,1.1839,1.1839,1.1839,0
1976-09-12,1.1929,1.1929,1.1929,1.1929,0
1976-09-19,1.1925,1.1925,1.1925,1.1925,0
1976-09-26,1.1933,1.1933,1.1933,1.1933,0
1976-10-03,1.2008,1.2008,1.2008,1.2008,0
1976-10-10,1.197,1.197,1.197,1.197,0
1976-10-17,1.1976,1.1976,1.1976,1.1976,0
1976-10-24,1.2039,1.2039,1.2039,1.2039,0
1976-10-31,1.199,1.199,1.199,1.199,0
1976-11-07,1.2011,1.2011,1.2011,1.2011,0
1976-11-14,1.1996,1.1996,1.1996,1.1996,0
1976-11-21,1.2038,1.2038,1.2038,1.2038,0
1976-11-28,1.2037,1.2037,1.2037,1.2037,0
1976-12-05,1.2071,1.2071,1.2071,1.2071,0
1976-12-12,1.2102,1.2102,1.2102,1.2102,0
1976-12-19,1.2139,1.2139,1.2139,1.2139,0
1976-12-26,1.2171,1.2171,1.2171,1.2171,0
1977-01-02,1.2148,1.2148,1.2148,1.2148,0
1977-01-09,1.2031,1.2031,1.2031,1.2031,0
1977-01-16,1.2012,1.2012,1.2012,1.2012,0
1977-01-23,1.1955,1.1955,1.1955,1.1955,0
1977-01-30,1.1957,1.1957,1.1957,1.1957,0
1977-02-06,1.1998,1.1998,1.1998,1.1998,0
1977-02-13,1.2018,1.2018,1.2018,1.2018,0
