Date,Open,High,Low,Close,Forecast
1982-03-28,1.2259,1.2259,1.2259,1.2259,0
1982-04-04,1.2316,1.2316,1.2316,1.2316,0
1982-04-11,1.2207,1.2207,1.2207,1.2207,0
1982-04-18,1.2242,1.2242,1.2242,1.2242,0
1982-04-25,1.2197,1.2197,1.2197,1.2197,0
1982-05-02,1.2231,1.2231,1.2231,1.2231,0
1982-05-09,1.2375,1.2375,1.2375,1.2375,0
1982-05-16,1.2355,1.2355,1.2355,1.2355,0
1982-05-23,1.244,1.244,1.244,1.244,0
1982-05-30,1.2499,1.2499,1.2499,1.2499,0
1982-06-06,1.2619,1.2619,1.2619,1.2619,0
1982-06-13,1.294,1.294,1.294,1.294,0
1982-06-20,1.2874,1.2874,1.2874,1.2874,0
1982-06-27,1.2875,1.2875,1.2875,1.2875,0
1982-07-04,1.2792,1.2792,1.2792,1.2792,0
1982-07-11,1.2637,1.2637,1.2637,1.2637,0
1982-07-18,1.2565,1.2565,1.2565,1.2565,0
1982-07-25,1.2556,1.2556,1.2556,1.2556,0
1982-08-01,1.2482,1.2482,1.2482,1.2482,0
1982-08-08,1.252,1.252,1.252,1.252,0
1982-08-15,1.2355,1.2355,1.2355,1.2355,0
1982-08-22,1.2398,1.2398,1.2398,1.2398,0
1982-08-29,1.24,1.24,1.24,1.24,0
1982-09-05,1.2385,1.2385,1.2385,1.2385,-1
1982-09-12,1.234,1.234,1.234,1.234,-1
1982-09-19,1.2324,1.2324,1.2324,1.2324,-1
1982-09-26,1.2353,1.2353,1.2353,1.2353,0
1982-10-03,1.2328,1.2328,1.2328,1.2328,-1
1982-10-10,1.23,1.23,1.23,1.23,-1
1982-10-17,1.2262,1.2262,1.2262,1.2262,-1
1982-10-24,1.2261,1.2261,1.2261,1.2261,-1
1982-10-31,1.223,1.223,1.223,1.223,-1
1982-11-07,1.2234,1.2234,1.2234,1.2234,0
1982-11-14,1.2211,1.2211,1.2211,1.2211,-1
1982-11-21,1.2382,1.2382,1.2382,1.2382,0
1982-11-28,1.2359,1.2359,1.2359,1.2359,0
1982-12-05,1.235,1.235,1.235,1.235,0
1982-12-12,1.237,1.237,1.237,1.237,0
1982-12-19,1.2408,1.2408,1.2408,1.2408,0
1982-12-26,1.2297,1.2297,1.2297,1.2297,0
1983-01-02,1.2267,1.2267,1.2267,1.2267,0
1983-01-09,1.2224,1.2224,1.2224,1.2224,0
1983-01-16,1.2283,1.2283,1.2283,1.2283,0
1983-01-23,1.236,1.236,1.236,1.236,0
1983-01-30,1.2285,1.2285,1.2285,1.2285,0
1983-02-06,1.2252,1.2252,1.2252,1.2252,-1
1983-02-13,1.2247,1.2247,1.2247,1.2247,-1
1983-02-20,1.2282,1.2282,1.2282,1.2282,0
1983-02-27,1.2232,1.2232,1.2232,1.2232,-1
1983-03-06,1.2265,1.2265,1.2265,1.2265,0
1983-03-13,1.2258,1.2258,1.2258,1.2258,-1
1983-03-20,1.2272,1.2272,1.2272,1.2272,0
1983-03-27,1.2341,1.2341,1.2341,1.2341,0
1983-04-03,1.2352,1.2352,1.2352,1.2352,0
1983-04-10,1.233,1.233,1.233,1.233,0
1983-04-17,1.227,1.227,1.227,1.227,0
1983-04-24,1.2262,1.2262,1.2262,1.2262,0
1983-05-01,1.227,1.227,1.227,1.227,0
1983-05-08,1.2271,1.2271,1.2271,1.2271,0
1983-05-15,1.2335,1.2335,1.2335,1.2335,0
1983-05-22,1.2306,1.2306,1.2306,1.2306,0
1983-05-29,1.2323,1.2323,1.2323,1.2323,0
1983-06-05,1.2339,1.2339,1.2339,1.2339,0
1983-06-12,1.232,1.232,1.232,1.232,0
1983-06-19,1.2325,1.2325,1.2325,1.2325,0
1983-06-26,1.227,1.227,1.227,1.227,0
1983-07-03,1.2313,1.2313,1.2313,1.2313,0
1983-07-10,1.2341,1.2341,1.2341,1.2341,0
1983-07-17,1.2343,1.2343,1.2343,1.2343,0
1983-07-24,1.234,1.234,1.234,1.234,0
1983-07-31,1.2362,1.2362,1.2362,1.2362,0
1983-08-07,1.2372,1.2372,1.2372,1.2372,0
1983-08-14,1.234,1.234,1.234,1.234,0
1983-08-21,1.2305,1.2305,1.2305,1.2305,0
1983-08-28,1.2329,1.2329,1.2329,1.2329,0
1983-09-04,1.2317,1.2317,1.2317,1.2317,0
1983-09-11,1.2338,1.2338,1.2338,1.2338,0
1983-09-18,1.2319,1.2319,1.2319,1.2319,0
1983-09-25,1.2323,1.2323,1.2323,1.2323,0
1983-10-02,1.2299,1.2299,1.2299,1.2299,-1
1983-10-09,1.2329,1.2329,1.2329,1.2329,0
1983-10-16,1.2312,1.2312,1.2312,1.2312,-1
1983-10-23,1.2325,1.2325,1.2325,1.2325,0
1983-10-30,1.2344,1.2344,1.2344,1.2344,0
1983-11-06,1.2347,1.2347,1.2347,1.2347,0
1983-11-13,1.2381,1.2381,1.2381,1.2381,0
1983-11-20,1.2401,1.2401,1.2401,1.2401,0
1983-11-27,1.2444,1.2444,1.2444,1.2444,0
1983-12-04,1.2492,1.2492,1.2492,1.2492,0
1983-12-11,1.2511,1.2511,1.2511,1.2511,0
1983-12-18,1.246,1.246,1.246,1.246,0
1983-12-25,1.2445,1.2445,1.2445,1.2445,0
1984-01-01,1.2497,1.2497,1.2497,1.2497,0
1984-01-08,1.2473,1.2473,1.2473,1.2473,0
1984-01-15,1.2472,1.2472,1.2472,1.2472,0
1984-01-22,1.2482,1.2482,1.2482,1.2482,0
1984-01-29,1.2464,1.2464,1.2464,1.2464,0
1984-02-05,1.2463,1.2463,1.2463,1.2463,0
1984-02-12,1.2476,1.2476,1.2476,1.2476,0
1984-02-19,1.2502,1.2502,1.2502,1.2502,0
1984-02-26,1.2511,1.2511,1.2511,1.2511,0
1984-03-04,1.2712,1.2712,1.2712,1.2712,0
1984-03-11,1.2697,1.2697,1.2697,1.2697,0
1984-03-18,1.2773,1.2773,1.2773,1.2773,0
1984-03-25,1.2776,1.2776,1.2776,1.2776,0
1984-04-01,1.2791,1.2791,1.2791,1.2791,0
1984-04-08,1.2787,1.2787,1.2787,1.2787,0
1984-04-15,1.2809,1.2809,1.2809,1.2809,0
1984-04-22,1.281,1.281,1.281,1.281,0
1984-04-29,1.2917,1.2917,1.2917,1.2917,0
1984-05-06,1.2942,1.2942,1.2942,1.2942,0
1984-05-13,1.2956,1.2956,1.2956,1.2956,0
1984-05-20,1.2948,1.2948,1.2948,1.2948,0
1984-05-27,1.294,1.294,1.294,1.294,0
1984-06-03,1.3009,1.3009,1.3009,1.3009,0
1984-06-10,1.3,1.3,1.3,1.3,0
1984-06-17,1.3076,1.3076,1.3076,1.3076,0
1984-06-24,1.3199,1.3199,1.3199,1.3199,0
1984-07-01,1.3265,1.3265,1.3265,1.3265,0
1984-07-08,1.3273,1.3273,1.3273,1.3273,0
1984-07-15,1.3278,1.3278,1.3278,1.3278,0
1984-07-22,1.3146,1.3146,1.3146,1.3146,0
1984-07-29,1.3073,1.3073,1.3073,1.3073,0
1984-08-05,1.3081,1.3081,1.3081,1.3081,0
1984-08-12,1.3045,1.3045,1.3045,1.3045,0
1984-08-19,1.2976,1.2976,1.2976,1.2976,0
1984-08-26,1.2974,1.2974,1.2974,1.2974,-1
1984-09-02,1.3155,1.3155,1.3155,1.3155,0
1984-09-09,1.3142,1.3142,1.3142,1.3142,0
1984-09-16,1.3166,1.3166,1.3166,1.3166,0
1984-09-23,1.3183,1.3183,1.3183,1.3183,0
1984-09-30,1.3187,1.3187,1.3187,1.3187,0
1984-10-07,1.3195,1.3195,1.3195,1.3195,0
1984-10-14,1.3228,1.3228,1.3228,1.3228,0
1984-10-21,1.318,1.318,1.318,1.318,0
1984-10-28,1.312,1.312,1.312,1.312,0
1984-11-04,1.3163,1.3163,1.3163,1.3163,0
1984-11-11,1.3153,1.3153,1.3153,1.3153,0
1984-11-18,1.3178,1.3178,1.3178,1.3178,0
1984-11-25,1.3242,1.3242,1.3242,1.3242,0
1984-12-02,1.3211,1.3211,1.3211,1.3211,0
1984-12-09,1.3207,1.3207,1.3207,1.3207,0
1984-12-16,1.3158,1.3158,1.3158,1.3158,0
1984-12-23,1.3207,1.3207,1.3207,1.3207,0
1984-12-30,1.3209,1.3209,1.3209,1.3209,0
1985-01-06,1.3214,1.3214,1.3214,1.3214,0
1985-01-13,1.3273,1.3273,1.3273,1.3273,0
1985-01-20,1.3249,1.3249,1.3249,1.3249,0
1985-01-27,1.3279,1.3279,1.3279,1.3279,0
1985-02-03,1.336,1.336,1.336,1.336,0
