Date,Open,High,Low,Close,Forecast
1975-11-30,2.6347,2.6347,2.6347,2.6347,0
1975-12-07,2.6375,2.6375,2.6375,2.6375,0
1975-12-14,2.6252,2.6252,2.6252,2.6252,-1
1975-12-21,2.619,2.619,2.619,2.619,-1
1975-12-28,2.618,2.618,2.618,2.618,-1
1976-01-04,2.606,2.606,2.606,2.606,-1
1976-01-11,2.6,2.6,2.6,2.6,-1
1976-01-18,2.604,2.604,2.604,2.604,0
1976-01-25,2.602,2.602,2.602,2.602,-1
1976-02-01,2.595,2.595,2.595,2.595,-1
1976-02-08,2.55,2.55,2.55,2.55,-1
1976-02-15,2.566,2.566,2.566,2.566,0
1976-02-22,2.569,2.569,2.569,2.569,0
1976-02-29,2.59,2.59,2.59,2.59,0
1976-03-07,2.588,2.588,2.588,2.588,-1
1976-03-14,2.531,2.531,2.531,2.531,-1
1976-03-21,2.544,2.544,2.544,2.544,0
1976-03-28,2.538,2.538,2.538,2.538,-1
1976-04-04,2.536,2.536,2.536,2.536,-1
1976-04-11,2.528,2.528,2.528,2.528,-1
1976-04-18,2.528,2.528,2.528,2.528,-1
1976-04-25,2.516,2.516,2.516,2.516,-1
1976-05-02,2.477,2.477,2.477,2.477,-1
1976-05-09,2.499,2.499,2.499,2.499,0
1976-05-16,2.496,2.496,2.496,2.496,-1
1976-05-23,2.46,2.46,2.46,2.46,-1
1976-05-30,2.454,2.454,2.454,2.454,-1
1976-06-06,2.485,2.485,2.485,2.485,0
1976-06-13,2.489,2.489,2.489,2.489,0
1976-06-20,2.473,2.473,2.473,2.473,-1
1976-06-27,2.467,2.467,2.467,2.467,-1
1976-07-04,2.474,2.474,2.474,2.474,0
1976-07-11,2.48,2.48,2.48,2.48,0
1976-07-18,2.51,2.51,2.51,2.51,0
1976-07-25,2.482,2.482,2.482,2.482,0
1976-08-01,2.48,2.48,2.48,2.48,0
1976-08-08,2.49,2.49,2.49,2.49,0
1976-08-15,2.478,2.478,2.478,2.478,0
1976-08-22,2.476,2.476,2.476,2.476,-1
1976-08-29,2.482,2.482,2.482,2.482,0
1976-09-05,2.481,2.481,2.481,2.481,0
1976-09-12,2.474,2.474,2.474,2.474,0
1976-09-19,2.472,2.472,2.472,2.472,-1
1976-09-26,2.449,2.449,2.449,2.449,-1
1976-10-03,2.45,2.45,2.45,2.45,0
1976-10-10,2.452,2.452,2.452,2.452,0
1976-10-17,2.447,2.447,2.447,2.447,-1
1976-10-24,2.432,2.432,2.432,2.432,-1
1976-10-31,2.443,2.443,2.443,2.443,0
1976-11-07,2.441,2.441,2.441,2.441,-1
1976-11-14,2.446,2.446,2.446,2.446,0
1976-11-21,2.44,2.44,2.44,2.44,-1
1976-11-28,2.453,2.453,2.453,2.453,0
1976-12-05,2.45,2.45,2.45,2.45,0
1976-12-12,2.451,2.451,2.451,2.451,0
1976-12-19,2.448,2.448,2.448,2.448,0
1976-12-26,2.445,2.445,2.445,2.445,0
1977-01-02,2.4635,2.4635,2.4635,2.4635,0
1977-01-09,2.493,2.493,2.493,2.493,0
1977-01-16,2.5035,2.5035,2.5035,2.5035,0
1977-01-23,2.5165,2.5165,2.5165,2.5165,0
1977-01-30,2.5185,2.5185,2.5185,2.5185,0
1977-02-06,2.5145,2.5145,2.5145,2.5145,0
1977-02-13,2.5102,2.5102,2.5102,2.5102,0
1977-02-20,2.5445,2.5445,2.5445,2.5445,0
1977-02-27,2.5487,2.5487,2.5487,2.5487,0
1977-03-06,2.5582,2.5582,2.5582,2.5582,0
1977-03-13,2.5482,2.5482,2.5482,2.5482,0
1977-03-20,2.547,2.547,2.547,2.547,0
