Date,Open,High,Low,Close,Forecast
1975-11-30,306.75,306.75,306.75,306.75,0
1975-12-07,305.9,305.9,305.9,305.9,0
1975-12-14,306.09,306.09,306.09,306.09,0
1975-12-21,305.9,305.9,305.9,305.9,0
1975-12-28,305.06,305.06,305.06,305.06,0
1976-01-04,306.0,306.0,306.0,306.0,0
1976-01-11,305.25,305.25,305.25,305.25,0
1976-01-18,304.04,304.04,304.04,304.04,0
1976-01-25,303.67,303.67,303.67,303.67,0
1976-02-01,301.39,301.39,301.39,301.39,0
1976-02-08,300.75,300.75,300.75,300.75,-1
1976-02-15,302.11,302.11,302.11,302.11,0
1976-02-22,302.11,302.11,302.11,302.11,-1
1976-02-29,301.57,301.57,301.57,301.57,-1
1976-03-07,300.84,300.84,300.84,300.84,-1
1976-03-14,299.67,299.67,299.67,299.67,-1
1976-03-21,299.58,299.58,299.58,299.58,-1
1976-03-28,299.31,299.31,299.31,299.31,-1
1976-04-04,297.89,297.89,297.89,297.89,-1
1976-04-11,299.31,299.31,299.31,299.31,0
1976-04-18,299.76,299.76,299.76,299.76,0
1976-04-25,299.04,299.04,299.04,299.04,-1
1976-05-02,298.51,298.51,298.51,298.51,-1
1976-05-09,298.78,298.78,298.78,298.78,0
1976-05-16,299.58,299.58,299.58,299.58,0
1976-05-23,300.03,300.03,300.03,300.03,0
1976-05-30,300.39,300.39,300.39,300.39,0
1976-06-06,300.03,300.03,300.03,300.03,0
1976-06-13,299.31,299.31,299.31,299.31,0
1976-06-20,297.8,297.8,297.8,297.8,0
1976-06-27,297.18,297.18,297.18,297.18,-1
1976-07-04,296.74,296.74,296.74,296.74,-1
1976-07-11,294.03,294.03,294.03,294.03,-1
1976-07-18,293.94,293.94,293.94,293.94,-1
1976-07-25,293.26,293.26,293.26,293.26,-1
1976-08-01,293.0,293.0,293.0,293.0,-1
1976-08-08,291.12,291.12,291.12,291.12,-1
1976-08-15,289.35,289.35,289.35,289.35,-1
1976-08-22,288.6,288.6,288.6,288.6,-1
1976-08-29,287.77,287.77,287.77,287.77,-1
1976-09-05,286.94,286.94,286.94,286.94,-1
1976-09-12,287.27,287.27,287.27,287.27,0
1976-09-19,287.85,287.85,287.85,287.85,0
1976-09-26,287.11,287.11,287.11,287.11,-1
1976-10-03,288.77,288.77,288.77,288.77,0
1976-10-10,293.0,293.0,293.0,293.0,0
1976-10-17,293.69,293.69,293.69,293.69,0
1976-10-24,294.38,294.38,294.38,294.38,0
1976-10-31,294.99,294.99,294.99,294.99,0
1976-11-07,294.64,294.64,294.64,294.64,0
1976-11-14,295.42,295.42,295.42,295.42,0
1976-11-21,295.51,295.51,295.51,295.51,0
1976-11-28,297.89,297.89,297.89,297.89,0
1976-12-05,294.81,294.81,294.81,294.81,0
1976-12-12,294.64,294.64,294.64,294.64,0
1976-12-19,293.51,293.51,293.51,293.51,0
1976-12-26,293.08,293.08,293.08,293.08,0
1977-01-02,292.83,292.83,292.83,292.83,-1
1977-01-09,292.06,292.06,292.06,292.06,-1
1977-01-16,290.44,290.44,290.44,290.44,-1
1977-01-23,289.52,289.52,289.52,289.52,-1
1977-01-30,288.1,288.1,288.1,288.1,-1
1977-02-06,285.06,285.06,285.06,285.06,-1
1977-02-13,283.45,283.45,283.45,283.45,-1
1977-02-20,282.01,282.01,282.01,282.01,-1
1977-02-27,282.09,282.09,282.09,282.09,0
